user_id,from_page,action,current_page,timestamp
1689459f31fe58f48973ed60da12981d,\N,MyMirror-TestFace-ReportPage-SwitchStyle,MyMirror-TestFace-ReportPage,2019-07-01 15:53:39
d17aebb7be63d76082b8d28ab679aec2,\N,MyMirror-TestFace-ReportPage-DragDown,MyMirror-TestFace-ReportPage,2019-07-01 17:43:52
7003db4e2fe2552bb1ba00661bb5e9be,\N,MyMirror-PicturePage-TabClick,MyMirror-PicturePage,2019-07-01 17:52:36
c795227897a6942074992c8c43460939,\N,MyMirror-TestFace-ReportPage-SwitchStyle,MyMirror-TestFace-ReportPage,2019-07-01 19:09:42
693a2a93be242871a824131d438f09ac,MyMirror-SimulateStyle-SimulateStylePage,MyMirror-SimulateStyle-SimulateStylePage-DragUp,MyMirror-SimulateStyle-SimulateStylePage,2019-07-01 21:06:51
122372ae7cde92243c4035ea04698fb8,\N,MyMirror-TestFace-ReportPage-DragDown,MyMirror-TestFace-ReportPage,2019-07-01 21:48:02
90210f53c5e85d6cf8bf334eb0d0d835,MyMirror-SimilarFaceSearch-AnalysisResultPage,MyMirror-PicturePage-CheckPhotoAlbum,MyMirror-PicturePage,2019-07-01 22:15:59
c096a80b560e78861532c21703fbf832,\N,MyMirror-TestFace-ReportPage-SwitchStyle,MyMirror-TestFace-ReportPage,2019-07-01 22:44:44
3095f5538de09b910defa205cf88e12a,\N,MyMirror-PicturePage-TabClick,MyMirror-PicturePage,2019-07-01 23:08:44
a0ec86e3801a5576685b8c78d3834055,\N,MyMirror-PicturePage-CheckPhotoAlbum,MyMirror-PicturePage,2019-07-01 23:28:44
dc8848d5316bf36cda5c7d73b32efc26,\N,MyMirror-TestFace-ReportPage-SwitchStyle,MyMirror-TestFace-ReportPage,2019-07-01 00:21:27
0626bc330b6b9e0190da7c706b1b382d,\N,MyMirror-TestFace-ReportPage-TestAgainButtonClick,MyMirror-TestFace-ShareMagazinePage,2019-07-01 00:36:44
37963986746e97b65e72959cc5ff2608,\N,MyMirror-PicturePage-CheckPhotoAlbum,MyMirror-PicturePage,2019-07-01 01:26:11
10bfc51b96d6b8d8076b25a4a365138b,\N,MyMirror-TestFace-ReportPage-SwitchStyle,MyMirror-TestFace-ReportPage,2019-07-01 01:27:19
37963986746e97b65e72959cc5ff2608,\N,MyMirror-TestFace-ReportPage-DragDown,MyMirror-TestFace-ReportPage,2019-07-01 01:42:49
fe387eb8094532ef6f559ca6f0682cf7,\N,MyMirror-PicturePage-TakePhotoButtonClick,MyMirror-PicturePage,2019-07-01 01:49:13
594d90c3bdc78c03b8e529f8008d0518,\N,MyMirror-PicturePage-TabClick,MyMirror-PicturePage,2019-07-01 02:53:41
18532bb66efd8b82ed67719b88e64ae6,\N,MyMirror-TestFace-ReportPage-DragDown,MyMirror-TestFace-ReportPage,2019-07-01 05:09:38
72ef6ee5fca1b0824bd3128750245778,MyMirror-TestFace-ReportPage,MyMirror-TestFace-ReportPage-SwitchStyle,MyMirror-SimulateStyle-SimulateStylePage,2019-07-01 06:43:40
84b7068c7f10f3522d4fbde74be1b115,MyMirror-SimilarFaceSearch-AnalysisResultPage,MyMirror-PicturePage-CheckPhotoAlbum,MyMirror-PicturePage,2019-07-01 07:29:51
0293cb11b88a1edb82f51d845b4c92c9,MyMirror-SimulateStyle-SimulateStylePage,MyMirror-TestFace-ReportPage-SwitchStyle,MyMirror-SimulateStyle-SimulateStylePage,2019-07-01 07:42:13
